Time	texts
0:01:00	LEHRER: Good evening from the Magness Arena at the University of Denver in Denver, Colorado.
0:06:00	I'm Jim Lehrer of the "PBS NewsHour," and I welcome you to the first of the 2012 presidential
0:13:00	debates between President Barack Obama, the Democratic nominee, and former Massachusetts
0:19:00	Governor Mitt Romney, the Republican nominee.
0:22:00	LEHRER: This debate and the next three -- two presidential, one vice presidential -- are
0:28:00	sponsored by the Commission on Presidential Debates. Tonight's 90 minutes will be about
0:34:00	domestic issues and will follow a format designed by the commission. There will be six roughly
0:42:00	15-minute segments with two-minute answers for the first question, then open discussion
0:48:00	for the remainder of each segment.
0:50:00	Thousands of people offered suggestions on segment subjects or questions via the Internet
0:56:00	and other means, but I made the final selections. And for the record, they were not submitted
1:02:00	for approval to the commission or the candidates.
1:06:00	The segments as I announced in advance will be three on the economy and one each on health
1:13:00	care, the role of government and governing, with an emphasis throughout on differences,
1:20:00	specifics and choices. Both candidates will also have two-minute closing statements.
1:27:00	The audience here in the hall has promised to remain silent -- no cheers, applause, boos,
1:33:00	hisses, among other noisy distracting things, so we may all concentrate on what the candidates
1:40:00	have to say. There is a noise exception right now, though, as we welcome President Obama
1:50:00	and Governor Romney.
2:00:00	(APPLAUSE)
2:09:00	Gentlemen, welcome to you both. Let's start the economy, segment one, and let's begin
2:25:00	with jobs. What are the major differences between the two of you about how you would
2:34:00	go about creating new jobs?
2:37:00	LEHRER: You have two minutes. Each of you have two minutes to start. A coin toss has
2:42:00	determined, Mr. President, you go first.
2:43:00	OBAMA: Well, thank you very much, Jim, for this opportunity. I want to thank Governor
2:48:00	Romney and the University of Denver for your hospitality.
2:50:00	There are a lot of points I want to make tonight, but the most important one is that 20 years
2:56:00	ago I became the luckiest man on Earth because Michelle Obama agreed to marry me.
3:01:00	And so I just want to wish, Sweetie, you happy anniversary and let you know that a year from
3:08:00	now we will not be celebrating it in front of 40 million people.
3:11:00	(LAUGHTER)
3:12:00	You know, four years ago we went through the worst financial crisis since the Great Depression.
3:19:00	Millions of jobs were lost, the auto industry was on the brink of collapse. The financial
3:24:00	system had frozen up.
3:27:00	And because of the resilience and the determination of the American people, we've begun to fight
3:32:00	our way back. Over the last 30 months, we've seen 5 million jobs in the private sector
3:38:00	created. The auto industry has come roaring back. And housing has begun to rise.
3:45:00	But we all know that we've still got a lot of work to do. And so the question here tonight
3:49:00	is not where we've been, but where we're going.
3:54:00	Governor Romney has a perspective that says if we cut taxes, skewed towards the wealthy,
4:00:00	and roll back regulations, that we'll be better off. I've got a different view.
4:05:00	I think we've got to invest in education and training. I think it's important for us to
4:09:00	develop new sources of energy here in America, that we change our tax code to make sure that
4:15:00	we're helping small businesses and companies that are investing here in the United States,
4:19:00	that we take some of the money that we're saving as we wind down two wars to rebuild
4:24:00	America and that we reduce our deficit in a balanced way that allows us to make these
4:29:00	critical investments.
5:02:00	ROMNEY: Now, I'm
6:39:00	concerned that the path that we're on has just been unsuccessful. The president has
6:43:00	a view very similar to the view he had when he ran four years, that a bigger government,
6:48:00	spending more, taxing more, regulating more -- if you will, trickle-down government -- would
6:53:00	work.
6:54:00	That's not the right answer for America. I'll restore the vitality that gets America working
6:59:00	again. Thank you.
7:00:00	LEHRER: Mr. President, please respond directly to what the governor just said about trickle-down
7:05:00	his trick-down approach, as he said yours is.
7:10:00	OBAMA: Well, let me talk specifically about what I think we need to do. First, we've got
7:16:00	to improve our education system and we've made enormous progress drawing on ideas both
7:23:00	from Democrats and Republicans that are already starting to show gains in some of the toughest
7:28:00	to deal with schools. We've got a program called Race to the Top that has prompted reforms
7:35:00	in 46 states around the country, raising standards, improving how we train teachers.
7:38:00	So now I want to hire another 100,000 new math and science teachers, and create 2 million
7:45:00	more slots in our community colleges so that people can get trained for the jobs that are
7:49:00	out there right now. And I want to make sure that we keep tuition low for our young people.
7:56:00	When it comes to our tax code, Governor Romney and I both agree that our corporate tax rate
8:00:00	is too high, so I want to lower it, particularly for manufacturing, taking it down to 25 percent.
8:06:00	But I also want to close those loopholes that are giving incentives for companies that are
8:13:00	shipping jobs overseas. I want to provide tax breaks for companies that are investing
8:17:00	here in the United States.
8:19:00	On energy, Governor Romney and I, we both agree that we've got to boost American energy
8:24:00	production, and oil and natural gas production are higher than they've been in years. But
8:31:00	I also believe that we've got to look at the energy sources of the future, like wind and
8:35:00	solar and biofuels, and make those investments.
8:38:00	OBAMA: So all of this is possible. Now, in order for us to do it, we do have to close
8:42:00	our deficit, and one of the things I'm sure we'll be discussing tonight is, how do we
8:46:00	deal with our tax code? And how do we make sure that we are reducing spending in a responsible
8:52:00	way, but also, how do we have enough revenue to make those investments?
8:54:00	And this is where there's a difference, because Governor Romney's central economic plan calls
9:00:00	for a $5 trillion tax cut -- on top of the extension of the Bush tax cuts -- that's another
9:04:00	trillion dollars -- and $2 trillion in additional military spending that the military hasn't
9:09:00	asked for. That's $8 trillion. How we pay for that, reduce the deficit, and make the
9:15:00	investments that we need to make, without dumping those costs onto middle-class Americans,
9:20:00	I think is one of the central questions of this campaign.
9:23:00	LEHRER: Both of you have spoken about a lot of different things, and we're going to try
9:27:00	to get through them in as specific a way as we possibly can.
9:31:00	But, first, Governor Romney, do you have a question that you'd like to ask the president
9:34:00	directly about something he just said?
9:37:00	ROMNEY: Well, sure. I'd like to clear up the record and go through it piece by piece.
9:40:00	First of all, I don't have a $5 trillion tax cut. I don't have a tax cut of a scale that
9:44:00	you're talking about. My view is that we ought to provide tax relief to people in the middle
9:49:00	class. But I'm not going to reduce the share of taxes paid by high-income people. High-income
9:54:00	people are doing just fine in this economy. They'll do fine whether you're president or
9:57:00	I am.
9:58:00	The people who are having the hard time right now are middle- income Americans. Under the
10:02:00	president's policies, middle-income Americans have been buried. They're just being crushed.
